country,total,correct_v3,errors_v3,accuracy_v3,error_rate_v3,correct_v4,errors_v4,accuracy_v4,error_rate_v4,correct_v5,errors_v5,accuracy_v5,error_rate_v5
AU,7,7,0,100.0,0.0,7,0,100.0,0.0,7,0,100.0,0.0
BG,7,4,3,57.142857142857146,42.85714285714285,4,3,57.142857142857146,42.85714285714285,4,3,57.142857142857146,42.85714285714285
CN,5,4,1,80.0,20.0,4,1,80.0,20.0,4,1,80.0,20.0
EC,8,3,5,37.5,62.5,4,4,50.0,50.0,4,4,50.0,50.0
EG,7,6,1,85.71428571428572,14.285714285714285,6,1,85.71428571428572,14.285714285714285,6,1,85.71428571428572,14.285714285714285
ES,12,10,2,83.33333333333334,16.666666666666664,10,2,83.33333333333334,16.666666666666664,10,2,83.33333333333334,16.666666666666664
FR,8,3,5,37.5,62.5,3,5,37.5,62.5,3,5,37.5,62.5
GB,5,5,0,100.0,0.0,5,0,100.0,0.0,5,0,100.0,0.0
GR,5,4,1,80.0,20.0,4,1,80.0,20.0,4,1,80.0,20.0
ID,5,5,0,100.0,0.0,5,0,100.0,0.0,5,0,100.0,0.0
IE,7,7,0,100.0,0.0,7,0,100.0,0.0,7,0,100.0,0.0
IR,5,4,1,80.0,20.0,4,1,80.0,20.0,4,1,80.0,20.0
JP,7,7,0,100.0,0.0,7,0,100.0,0.0,7,0,100.0,0.0
KR,5,3,2,60.0,40.0,3,2,60.0,40.0,2,3,40.0,60.0
LK,7,5,2,71.42857142857143,28.57142857142857,6,1,85.71428571428572,14.285714285714285,6,1,85.71428571428572,14.285714285714285
MA,7,7,0,100.0,0.0,7,0,100.0,0.0,7,0,100.0,0.0
MX,5,4,1,80.0,20.0,4,1,80.0,20.0,4,1,80.0,20.0
PH,8,8,0,100.0,0.0,7,1,87.5,12.5,8,0,100.0,0.0
SA,7,3,4,42.85714285714286,57.14285714285714,2,5,28.57142857142857,71.42857142857143,4,3,57.142857142857146,42.85714285714285
SG,21,21,0,100.0,0.0,21,0,100.0,0.0,21,0,100.0,0.0
