id	prediction	truth
ms-SG_001	C	C
ms-SG_007	C	C
ta-SG_008	C	C
ta-SG_014	C	C
zh-SG_015	C	C
zh-SG_021	C	C
es-EC_022	C	C
es-EC_023	C	C
es-EC_024	C	C
es-EC_026	C	C
es-EC_028	C	C
en-GB_031	C	C
zh-CN_038	C	C
es-ES_040	C	C
es-ES_044	C	C
es-MX_046	C	C
es-MX_049	C	C
id-ID_051	C	C
ko-KR_059	C	C
fa-IR_065	C	C
ar-EG_071	C	C
ar-EG_074	C	C
ar-MA_077	C	C
ar-MA_080	C	C
ar-MA_081	C	C
ar-MA_083	C	C
en-AU_092	C	C
en-AU_094	C	C
en-AU_097	C	C
eu-ES_098	C	C
eu-ES_101	C	C
eu-ES_103	C	C
fr-FR_108	C	C
fr-FR_110	C	C
fr-FR_111	C	C
fr-FR_112	C	C
ga-IE_119	C	C
tl-PH_127	C	C
tl-PH_132	C	C
bg-BG_135	C	C
bg-BG_140	C	C
