id	prediction	truth
ms-SG_001	C	C
ms-SG_002	B	B
ms-SG_003	A	A
ms-SG_004	B	B
ms-SG_005	D	D
ms-SG_006	D	D
ms-SG_007	C	C
ta-SG_008	C	C
ta-SG_009	B	B
ta-SG_010	A	A
ta-SG_011	B	B
ta-SG_012	D	D
ta-SG_013	D	D
ta-SG_014	C	C
zh-SG_015	C	C
zh-SG_016	B	B
zh-SG_017	A	A
zh-SG_018	B	B
zh-SG_019	D	D
zh-SG_020	D	D
zh-SG_021	C	C
es-EC_022	C	C
es-EC_024	C	C
es-EC_027	B	B
es-EC_028	C	C
en-GB_030	B	B
en-GB_031	C	C
en-GB_032	D	D
en-GB_033	A	A
en-GB_034	A	A
zh-CN_035	D	D
zh-CN_036	A	A
zh-CN_037	B	B
zh-CN_038	C	C
es-ES_040	C	C
es-ES_041	A	A
es-ES_042	B	B
es-ES_043	D	D
es-ES_044	C	C
es-MX_045	B	B
es-MX_046	C	C
es-MX_047	D	D
es-MX_048	B	B
id-ID_050	A	A
id-ID_051	C	C
id-ID_052	B	B
id-ID_053	D	D
id-ID_054	B	B
ko-KR_055	B	B
ko-KR_057	D	D
ko-KR_058	B	B
el-GR_060	A	A
el-GR_061	A	A
el-GR_063	B	B
el-GR_064	B	B
fa-IR_065	C	C
fa-IR_066	B	B
fa-IR_068	A	A
fa-IR_069	B	B
ar-EG_070	B	B
ar-EG_071	C	C
ar-EG_072	A	A
ar-EG_073	A	A
ar-EG_075	D	D
ar-EG_076	A	A
ar-MA_077	C	C
ar-MA_078	B	B
ar-MA_079	B	B
ar-MA_080	C	C
ar-MA_081	C	C
ar-MA_082	A	A
ar-MA_083	C	C
ar-SA_087	D	D
ar-SA_089	B	B
ar-SA_090	A	A
en-AU_091	A	A
en-AU_092	C	C
en-AU_093	A	A
en-AU_094	C	C
en-AU_095	D	D
en-AU_096	D	D
en-AU_097	C	C
eu-ES_098	C	C
eu-ES_099	A	A
eu-ES_101	C	C
eu-ES_102	A	A
eu-ES_103	C	C
fr-FR_106	B	B
fr-FR_107	D	D
fr-FR_108	C	C
fr-FR_109	D	D
fr-FR_110	C	C
fr-FR_111	C	C
ga-IE_113	A	A
ga-IE_114	B	B
ga-IE_115	A	A
ga-IE_116	B	B
ga-IE_117	A	A
ga-IE_118	B	B
ga-IE_119	C	C
ta-LK_122	A	A
ta-LK_123	A	A
ta-LK_125	B	B
ta-LK_126	A	A
tl-PH_127	C	C
tl-PH_128	B	B
tl-PH_129	B	B
tl-PH_131	B	B
tl-PH_132	C	C
tl-PH_133	A	A
tl-PH_134	B	B
bg-BG_135	C	C
bg-BG_137	D	D
bg-BG_139	D	D
bg-BG_141	B	B
ja-JP_142	B	B
ja-JP_144	D	D
ja-JP_145	A	A
ja-JP_146	A	A
ja-JP_147	A	A
ja-JP_148	D	D
