intent,total,correct,errors,accuracy,error_rate
history_identity,2,1,1,50.0,50.0
sports,8,5,3,62.5,37.5
economy_currency_symbols,12,9,3,75.0,25.0
media_popculture,21,16,5,76.19047619047619,23.809523809523807
other,22,17,5,77.27272727272728,22.727272727272727
language_writing,5,4,1,80.0,20.0
holidays_festivals,22,19,3,86.36363636363636,13.636363636363635
geography_places,16,14,2,87.5,12.5
food_drink,28,25,3,89.28571428571429,10.714285714285714
culture_landmarks,4,4,0,100.0,0.0
government_politics,8,8,0,100.0,0.0
